flybaseCG	module	DE_condition	padj
CG2321	5	wMel_vs_uninf	6.46584138504032e-46
CG2411	5	celltypeJW18.infectionwMel	1.44271711521085e-27
CG2671	5	wMel_vs_uninf	8.1434009241515e-33
CG2674	5	wMel_vs_uninf	3.02740344166751e-15
CG2708	5	celltypeJW18.infectionwMel	1.15726876482416e-09
CG2713	5	wMel_vs_uninf	1.90869134009354e-21
CG2723	5	celltypeJW18.infectionwMel	1.14574156205452e-101
CG2862	5	celltypeJW18.infectionwMel	3.6507523771366e-12
CG2929	5	wMel_vs_uninf	1.75325226205554e-10
CG2930	5	celltype_JW18_vs_S2	0
CG2957	5	wMel_vs_uninf	2.72631005953272e-16
CG30000	5	wMel_vs_uninf	1.01356708869419e-95
CG3004	5	celltypeJW18.infectionwMel	4.26207600113678e-08
CG30410	5	celltypeJW18.infectionwMel	1.43710969596444e-15
CG3057	5	wMel_vs_uninf	4.25665894297599e-05
CG3090	5	wMel_vs_uninf	2.02765726477639e-56
CG31048	5	celltypeJW18.infectionwMel	1.89167579257738e-32
CG31133	5	wMel_vs_uninf	1.82469598761528e-09
CG31152	5	celltypeJW18.infectionwMel	2.69618325487048e-17
CG31322	5	celltypeJW18.infectionwMel	2.31752721713882e-30
CG31388	5	celltypeJW18.infectionwMel	4.45583050921231e-05
CG3143	5	celltypeJW18.infectionwMel	8.4085867156673e-70
CG31450	5	wMel_vs_uninf	0.000556062228015296
CG31453	5	wMel_vs_uninf	2.80216188317356e-06
CG31472	5	wMel_vs_uninf	3.71158867866972e-29
CG31550	5	wMel_vs_uninf	2.5648088387008e-33
CG31633	5	wMel_vs_uninf	9.34325609970255e-11
CG31739	5	wMel_vs_uninf	6.37808815539008e-21
CG31794	5	celltypeJW18.infectionwMel	0
CG3182	5	celltypeJW18.infectionwMel	9.16231194254213e-19
CG31849	5	celltypeJW18.infectionwMel	3.94424619569121e-05
CG31855	5	wMel_vs_uninf	2.74343241974768e-13
CG3186	5	wMel_vs_uninf	1.25176908044865e-54
CG31911	5	wMel_vs_uninf	2.05755502107108e-15
CG31915	5	celltypeJW18.infectionwMel	2.26485894289143e-27
CG31937	5	celltypeJW18.infectionwMel	1.75339996867678e-24
CG31999	5	celltypeJW18.infectionwMel	1.53155820641881e-91
CG3214	5	celltypeJW18.infectionwMel	8.46859321938432e-17
CG32174	5	wMel_vs_uninf	1.45942146245801e-11
CG32176	5	wMel_vs_uninf	2.38661256847967e-05
CG32210	5	wMel_vs_uninf	6.88503014465243e-68
CG32295	5	celltypeJW18.infectionwMel	8.28189771022529e-23
CG32438	5	wMel_vs_uninf	2.7015028601587e-55
CG32441	5	wMel_vs_uninf	2.80655521254869e-16
CG32446	5	wMel_vs_uninf	1.55504031089899e-51
CG32473	5	celltypeJW18.infectionwMel	1.5671218996098e-39
CG32521	5	celltypeJW18.infectionwMel	8.03004151126823e-52
CG32592	5	wMel_vs_uninf	1.93040391446265e-222
CG32625	5	wMel_vs_uninf	9.0136010042189e-30
CG32672	5	wMel_vs_uninf	1.40123806321548e-73
CG32675	5	celltypeJW18.infectionwMel	1.09619003759903e-21
CG32854	5	celltypeJW18.infectionwMel	4.68481010994057e-12
CG3308	5	wMel_vs_uninf	4.21809879973704e-11
CG33096	5	celltypeJW18.infectionwMel	1.79029527567646e-23
CG33108	5	celltypeJW18.infectionwMel	3.85476323560605e-08
CG3313	5	celltypeJW18.infectionwMel	1.05528841916627e-11
CG3319	5	celltypeJW18.infectionwMel	5.17973559121461e-05
CG33303	5	wMel_vs_uninf	0.00726764515339738
CG3338	5	wMel_vs_uninf	3.84992907978088e-13
CG33532	5	wMel_vs_uninf	7.77593142501165e-22
CG33533	5	wMel_vs_uninf	2.3073117246143e-15
CG33748	5	celltypeJW18.infectionwMel	5.71510417013318e-09
CG33852	5	celltypeJW18.infectionwMel	2.15109850790778e-07
CG33891	5	wMel_vs_uninf	4.67929299086997e-60
CG33893	5	wMel_vs_uninf	4.67929299086997e-60
CG33895	5	wMel_vs_uninf	4.67929299086997e-60
CG33897	5	wMel_vs_uninf	4.67929299086997e-60
CG33899	5	wMel_vs_uninf	4.67929299086997e-60
CG3413	5	celltypeJW18.infectionwMel	1.45951930826113e-174
CG34293	5	wMel_vs_uninf	5.55053172397147e-05
CG34300	5	celltypeJW18.infectionwMel	7.17375445128943e-43
CG34417	5	celltypeJW18.infectionwMel	0
CG3520	5	celltypeJW18.infectionwMel	7.00174559788435e-14
CG3532	5	celltypeJW18.infectionwMel	3.68785090718682e-78
CG3572	5	wMel_vs_uninf	2.10139936309859e-55
CG3717	5	wMel_vs_uninf	2.15783483769126e-41
CG3730	5	celltypeJW18.infectionwMel	2.9364736827539e-20
CG3771	5	celltypeJW18.infectionwMel	0.000327544811390988
CG3800	5	celltypeJW18.infectionwMel	3.84098549382535e-09
CG3845	5	celltypeJW18.infectionwMel	4.80017101141063e-38
CG3893	5	wMel_vs_uninf	1.14615674961847e-16
CG40045	5	celltypeJW18.infectionwMel	1.3195325114185e-07
CG40178	5	celltypeJW18.infectionwMel	2.36480185802661e-288
CG40351	5	wMel_vs_uninf	1.3135850693908e-22
CG4042	5	celltypeJW18.infectionwMel	0.000555957144785365
CG40451	5	celltypeJW18.infectionwMel	5.35647416632897e-29
CG4089	5	celltypeJW18.infectionwMel	0.00583872321269554
CG4132	5	wMel_vs_uninf	3.91271019712532e-199
CG4200	5	wMel_vs_uninf	1.53562574255986e-47
CG42273	5	celltypeJW18.infectionwMel	3.17219446539561e-15
CG4230	5	wMel_vs_uninf	6.60728608331849e-09
CG4247	5	celltypeJW18.infectionwMel	1.11334177898369e-06
CG42488	5	celltypeJW18.infectionwMel	3.44081264016506e-11
CG42557	5	wMel_vs_uninf	6.37904923879985e-14
CG42558	5	wMel_vs_uninf	6.37904923879985e-14
CG4257	5	wMel_vs_uninf	0
CG42641	5	wMel_vs_uninf	2.58126971181303e-32
CG42672	5	celltypeJW18.infectionwMel	1.06812181127052e-11
CG4282	5	celltypeJW18.infectionwMel	0.00174704786238499
CG42837	5	celltypeJW18.infectionwMel	8.02752600984301e-57
CG43389	5	celltypeJW18.infectionwMel	6.52809697320103e-49
CG43443	5	wMel_vs_uninf	2.06309576439248e-237
CG43755	5	celltypeJW18.infectionwMel	2.1164887547878e-31
CG43758	5	celltype_JW18_vs_S2	0
CG4394	5	wMel_vs_uninf	1.05004856620327e-145
CG4406	5	celltypeJW18.infectionwMel	4.79428734925063e-43
CG44243	5	celltypeJW18.infectionwMel	2.35949198980057e-59
CG44402	5	celltypeJW18.infectionwMel	0
CG44838	5	wMel_vs_uninf	8.64153223911256e-56
CG45049	5	wMel_vs_uninf	5.31051421508359e-95
CG45089	5	celltypeJW18.infectionwMel	5.28475476217974e-12
CG4511	5	celltypeJW18.infectionwMel	3.57325804586081e-85
CG4535	5	celltypeJW18.infectionwMel	1.98669175268472e-18
CG4538	5	celltypeJW18.infectionwMel	3.09100958946437e-55
CG4572	5	celltypeJW18.infectionwMel	3.84312836306491e-85
CG4581	5	wMel_vs_uninf	1.1076209971569e-20
CG4591	5	celltypeJW18.infectionwMel	1.26528834779257e-27
CG4643	5	wMel_vs_uninf	4.7303305174098e-09
CG4644	5	wMel_vs_uninf	6.07489591181151e-13
CG46459	5	wMel_vs_uninf	1.19682450357508e-10
CG4658	5	wMel_vs_uninf	1.68382937858739e-13
CG4674	5	wMel_vs_uninf	3.36090131502522e-08
CG4755	5	wMel_vs_uninf	4.00402214508197e-48
CG4756	5	celltypeJW18.infectionwMel	3.60946862137512e-10
CG4771	5	wMel_vs_uninf	1.30914931087439e-37
CG4792	5	wMel_vs_uninf	1.84143830025724e-91
CG4820	5	celltypeJW18.infectionwMel	1.97028547511469e-09
CG4845	5	celltypeJW18.infectionwMel	2.98033543869877e-10
CG4860	5	wMel_vs_uninf	7.09402050863871e-103
CG4872	5	celltypeJW18.infectionwMel	3.80049584161312e-128
CG4880	5	celltypeJW18.infectionwMel	8.96824770185261e-08
CG4908	5	celltypeJW18.infectionwMel	3.68794496729776e-10
CG4919	5	celltypeJW18.infectionwMel	1.15696814328421e-24
CG4963	5	celltypeJW18.infectionwMel	4.71541419041919e-200
CG4972	5	celltypeJW18.infectionwMel	1.34485090594843e-24
CG5037	5	celltypeJW18.infectionwMel	1.38742712701269e-05
CG5039	5	wMel_vs_uninf	5.76353939340086e-08
CG5045	5	celltypeJW18.infectionwMel	0.000133054639977819
CG5091	5	wMel_vs_uninf	3.89539086123349e-06
CG5126	5	wMel_vs_uninf	1.24679027565891e-30
CG5166	5	celltypeJW18.infectionwMel	1.95930923134968e-24
CG5170	5	celltypeJW18.infectionwMel	5.43833843900402e-214
CG5184	5	wMel_vs_uninf	3.7701085607342e-15
CG5196	5	celltypeJW18.infectionwMel	5.34043683488377e-33
CG5208	5	celltypeJW18.infectionwMel	1.23080207555899e-19
CG5214	5	celltypeJW18.infectionwMel	5.06554514766551e-82
CG5248	5	wMel_vs_uninf	3.4856379498366e-104
CG5266	5	celltypeJW18.infectionwMel	2.21240782432883e-52
CG5276	5	wMel_vs_uninf	7.27467003137393e-18
CG5292	5	wMel_vs_uninf	7.5947807686517e-08
CG5323	5	celltypeJW18.infectionwMel	1.2332749523224e-10
CG5344	5	celltypeJW18.infectionwMel	3.01333457210908e-89
CG5383	5	wMel_vs_uninf	2.3561056895052e-16
CG5407	5	wMel_vs_uninf	0
CG5446	5	wMel_vs_uninf	9.82830934918945e-12
CG5463	5	celltypeJW18.infectionwMel	2.2685328657815e-08
CG5466	5	wMel_vs_uninf	1.91534261047784e-10
CG5525	5	wMel_vs_uninf	6.98083603157983e-10
CG5604	5	wMel_vs_uninf	9.56065726261975e-71
CG5605	5	celltypeJW18.infectionwMel	7.39132659561261e-29
CG5608	5	wMel_vs_uninf	1.55793362092004e-31
CG5641	5	wMel_vs_uninf	6.92591396147224e-42
CG5649	5	wMel_vs_uninf	0.00231206643831869
CG5650	5	celltypeJW18.infectionwMel	6.44797767532885e-48
CG5703	5	wMel_vs_uninf	2.38561819927229e-12
CG5709	5	wMel_vs_uninf	2.97507230164033e-06
CG5722	5	celltype_JW18_vs_S2	2.54937530391891e-17
CG5788	5	celltypeJW18.infectionwMel	8.74298906847388e-20
CG5793	5	wMel_vs_uninf	1.44192519275642e-07
CG5840	5	wMel_vs_uninf	8.76167613167606e-22
CG5844	5	celltypeJW18.infectionwMel	5.61184552044147e-67
CG5871	5	wMel_vs_uninf	3.4161434775006e-15
CG6008	5	wMel_vs_uninf	1.10123245522445e-10
CG6009	5	wMel_vs_uninf	0.00369751110606367
CG6019	5	celltypeJW18.infectionwMel	3.569358952632e-32
CG6020	5	celltypeJW18.infectionwMel	6.65976512349827e-15
CG6028	5	celltypeJW18.infectionwMel	8.90822386257297e-15
CG6040	5	celltypeJW18.infectionwMel	3.51595915020487e-16
CG6094	5	wMel_vs_uninf	0.000143403907599451
CG6103	5	wMel_vs_uninf	2.22512617814098e-36
CG6116	5	celltypeJW18.infectionwMel	3.93361728480362e-34
CG6147	5	celltypeJW18.infectionwMel	1.0532573064353e-06
CG6159	5	wMel_vs_uninf	4.43186945172324e-19
CG6170	5	wMel_vs_uninf	6.2783341701974e-07
CG6176	5	wMel_vs_uninf	4.56245287038576e-13
CG6198	5	wMel_vs_uninf	6.42183154897934e-14
CG6339	5	wMel_vs_uninf	1.82979891320413e-48
CG6395	5	celltypeJW18.infectionwMel	1.32337721368306e-33
CG6455	5	celltypeJW18.infectionwMel	6.07137491242827e-23
CG6525	5	celltypeJW18.infectionwMel	2.27930941320961e-71
CG6538	5	celltypeJW18.infectionwMel	1.95324661459478e-07
CG6554	5	celltypeJW18.infectionwMel	1.14469361680259e-07
CG6582	5	celltypeJW18.infectionwMel	9.40581978996279e-40
CG6593	5	wMel_vs_uninf	8.43677160742475e-17
CG6597	5	wMel_vs_uninf	2.78142414347211e-106
CG6689	5	celltypeJW18.infectionwMel	2.90324932108015e-30
CG6711	5	wMel_vs_uninf	2.76850534092504e-83
CG6715	5	wMel_vs_uninf	1.53695487076306e-92
CG6744	5	celltypeJW18.infectionwMel	2.2811977793388e-59
CG6769	5	celltypeJW18.infectionwMel	2.35866099911181e-05
CG6782	5	celltypeJW18.infectionwMel	7.39358693575667e-89
CG6783	5	celltypeJW18.infectionwMel	4.30869542290059e-262
CG6791	5	wMel_vs_uninf	1.70742547380027e-08
CG6805	5	wMel_vs_uninf	5.01442875748226e-127
CG6842	5	celltypeJW18.infectionwMel	3.70379218467516e-27
CG6871	5	celltypeJW18.infectionwMel	1.83504965764937e-60
CG6920	5	wMel_vs_uninf	6.17951228344141e-29
CG6923	5	celltypeJW18.infectionwMel	1.63846499943375e-13
CG6939	5	celltypeJW18.infectionwMel	6.51569155643205e-111
CG6948	5	celltypeJW18.infectionwMel	1.10414412597691e-08
CG7071	5	wMel_vs_uninf	0.00175915584362764
CG7074	5	celltypeJW18.infectionwMel	2.38430538898716e-28
CG7099	5	wMel_vs_uninf	2.64773740224892e-53
CG7139	5	wMel_vs_uninf	8.44196661436506e-08
CG7192	5	wMel_vs_uninf	6.18695204477153e-16
CG7210	5	celltype_JW18_vs_S2	1.08751254067696e-07
CG7222	5	celltypeJW18.infectionwMel	1.67475807053006e-38
CG7280	5	celltypeJW18.infectionwMel	1.93039436881377e-10
CG7340	5	celltypeJW18.infectionwMel	2.0424917588637e-96
CG7407	5	wMel_vs_uninf	2.94349544574101e-06
CG7414	5	wMel_vs_uninf	5.27301297672734e-142
CG7415	5	celltypeJW18.infectionwMel	6.21483702304004e-27
CG7496	5	celltypeJW18.infectionwMel	2.10344268038102e-280
CG7518	5	celltypeJW18.infectionwMel	1.37290067239131e-102
CG7583	5	celltypeJW18.infectionwMel	3.9328411405338e-75
CG7595	5	celltypeJW18.infectionwMel	2.19819994159765e-18
CG7603	5	celltypeJW18.infectionwMel	4.9005069727052e-08
CG7620	5	wMel_vs_uninf	2.8624844429058e-05
CG7641	5	wMel_vs_uninf	4.4161139105199e-09
CG7748	5	celltypeJW18.infectionwMel	1.31657110488405e-26
CG7749	5	celltypeJW18.infectionwMel	3.66638655921456e-58
CG7758	5	wMel_vs_uninf	1.29288879308554e-05
CG7899	5	wMel_vs_uninf	1.28163754651502e-111
CG7904	5	wMel_vs_uninf	1.14269877310778e-124
CG7913	5	wMel_vs_uninf	1.76359878001884e-22
CG7917	5	wMel_vs_uninf	3.60181675493958e-199
CG7920	5	wMel_vs_uninf	5.15966584187478e-174
CG7988	5	wMel_vs_uninf	0.000343375843347154
CG8032	5	wMel_vs_uninf	5.17592381795438e-12
CG8050	5	wMel_vs_uninf	3.3071821495928e-61
CG8107	5	wMel_vs_uninf	1.10280019508644e-251
CG8111	5	wMel_vs_uninf	6.40215534443907e-10
CG8116	5	wMel_vs_uninf	6.747491471772e-26
CG8190	5	wMel_vs_uninf	0.00109466963669119
CG8199	5	wMel_vs_uninf	1.19058263181359e-08
CG8204	5	wMel_vs_uninf	2.15744170035602e-08
CG8257	5	wMel_vs_uninf	0.000862449668965172
CG8274	5	wMel_vs_uninf	2.23860086484358e-20
CG8359	5	wMel_vs_uninf	0.00930940547455033
CG8378	5	wMel_vs_uninf	2.66163737188138e-15
CG8569	5	wMel_vs_uninf	0.00460300061501741
CG8594	5	celltypeJW18.infectionwMel	1.54192747778251e-68
CG8616	5	wMel_vs_uninf	2.61836530629998e-08
CG8767	5	celltypeJW18.infectionwMel	1.8879283705429e-14
CG8768	5	wMel_vs_uninf	5.96181942535554e-05
CG8771	5	wMel_vs_uninf	6.42268291072197e-14
CG8778	5	wMel_vs_uninf	4.06499310627217e-36
CG8815	5	wMel_vs_uninf	1.53479541301587e-68
CG8857	5	celltypeJW18.infectionwMel	0.000662176083160653
CG8863	5	celltypeJW18.infectionwMel	3.57040147304249e-103
