transcript_id gene_symbol gene_id
FBtr0070119 Mybbp1A CG6189
FBtr0070120 su(sable) CG6222
FBtr0070121 CG13367 CG13367
FBtr0070122 Roc1a CG16982
FBtr0070123 SkpA CG16983
FBtr0070124 SkpA CG16983
FBtr0070125 SkpA CG16983
FBtr0070126 SkpA CG16983
FBtr0070127 SkpA CG16983
FBtr0070128 SkpA CG16983
FBtr0070129 SkpA CG16983
FBtr0070130 sdk CG5227
FBtr0070131 sdk CG5227
FBtr0070132 sdk CG5227
FBtr0070133 sdk CG5227
FBtr0070134 CG5254 CG5254
FBtr0070135 CG5273 CG5273
FBtr0070136 CG5273 CG5273
FBtr0070137 CG5273 CG5273
FBtr0070138 fz3 CG16785
FBtr0070139 tw CG12311
FBtr0070141 Sec22 CG7359
FBtr0070142 CG14635 CG14635
FBtr0070145 CG13359 CG13359
FBtr0070146 Rbf CG7413
FBtr0070147 CG13360 CG13360
FBtr0070148 RpL22 CG7434
FBtr0070149 CG13361 CG13361
FBtr0070150 CG13362 CG13362
FBtr0070151 Hmt4-20 CG13363
FBtr0070155 RpL36 CG7622
FBtr0070156 RpL36 CG7622
FBtr0070157 RpL36 CG7622
FBtr0070158 RpL36 CG7622
FBtr0070159 CG13364 CG13364
FBtr0070160 CG13365 CG13365
FBtr0070161 spdi CG13366
FBtr0070163 CG11664 CG11664
FBtr0070164 CG11663 CG11663
FBtr0070165 MED22 CG3034
FBtr0070167 TRAM CG11642
FBtr0070168 TRAM CG11642
FBtr0070169 TRAM CG11642
FBtr0070170 mus81 CG3026
FBtr0070171 CG18823 CG18823
FBtr0070172 CG14631 CG14631
FBtr0070173 CG3021 CG3021
FBtr0070174 Rpp21 CG33082
FBtr0070175 CG14630 CG14630
FBtr0070176 su(w[a]) CG3019
FBtr0070177 su(w[a]) CG3019
FBtr0070178 su(w[a]) CG3019
FBtr0070179 CG14629 CG14629
FBtr0070180 CG14628 CG14628
FBtr0070181 CG3655 CG3655
FBtr0070182 Cdc45 CG3658
FBtr0070183 CG11638 CG11638
FBtr0070184 TfIIA-S-2 CG11639
FBtr0070185 CG3690 CG3690
FBtr0070186 CG3699 CG3699
FBtr0070187 CG3703 CG3703
FBtr0070188 CG3704 CG3704
FBtr0070189 CG3706 CG3706
FBtr0070195 CG3713 CG3713
FBtr0070197 CG11378 CG11378
FBtr0070198 CG11379 CG11379
FBtr0070199 CG14627 CG14627
FBtr0070200 CG14626 CG14626
FBtr0070201 CG11380 CG11380
FBtr0070202 CG14625 CG14625
FBtr0070203 CG11381 CG11381
FBtr0070204 CG14624 CG14624
FBtr0070205 CG11382 CG11382
FBtr0070206 CG32812 CG32812
FBtr0070207 fs(1)N CG11411
FBtr0070209 Naa30A CG11412
FBtr0070211 Tsp2A CG11415
FBtr0070212 CG11417 CG11417
FBtr0070213 CG14770 CG14770
FBtr0070215 ssx CG3056
FBtr0070216 AMPKalpha CG3051
FBtr0070217 AMPKalpha CG3051
FBtr0070218 AMPKalpha CG3051
FBtr0070219 CG32813 CG32813
FBtr0070222 CG32813 CG32813
FBtr0070225 Rilpl CG11448
FBtr0070230 Lrpprc2 CG14786
FBtr0070231 CG14785 CG14785
FBtr0070233 CG3719 CG3719
FBtr0070234 png CG11420
FBtr0070235 CG12773 CG12773
FBtr0070236 MTPAP CG11418
FBtr0070237 MTPAP CG11418
FBtr0070238 CG11409 CG11409
FBtr0070239 DAAM CG14622
FBtr0070241 DAAM CG14622
FBtr0070244 Atf3 CG11405
FBtr0070245 CG11403 CG11403
FBtr0070249 CG3638 CG3638
FBtr0070250 CG11398 CG11398
FBtr0070251 CG11384 CG11384
FBtr0070252 eIF4E7 CG32859
FBtr0070253 CG14777 CG14777
FBtr0070254 CG14778 CG14778
FBtr0070255 pck CG14779
FBtr0070256 pck CG14779
FBtr0070257 CG14780 CG14780
FBtr0070258 mei-38 CG14781
FBtr0070259 rush CG14782
FBtr0070260 inc CG32810
FBtr0070261 br CG11491
FBtr0070262 br CG11491
FBtr0070263 br CG11491
FBtr0070265 br CG11491
FBtr0070266 br CG11491
FBtr0070269 dor CG3093
FBtr0070270 hfw CG3095
FBtr0070272 b6 CG3100
FBtr0070277 Scgdelta CG14808
FBtr0070278 CG3795 CG3795
FBtr0070279 a6 CG3771
FBtr0070283 CG3740 CG3740
FBtr0070284 Mur2B CG14796
FBtr0070285 CG14795 CG14795
FBtr0070288 Nmdar2 CG33513
FBtr0070289 sta CG14792
FBtr0070290 sta CG14792
FBtr0070292 snoRNA:M CR32807
FBtr0070293 Rab27 CG14791
FBtr0070294 Rab27 CG14791
FBtr0070295 CG32808 CG32808
FBtr0070296 O-fut2 CG14789
FBtr0070297 Ns3 CG14788
FBtr0070298 CG14787 CG14787
FBtr0070299 Adar CG12598
FBtr0070300 Adar CG12598
FBtr0070301 CG32806 CG32806
FBtr0070308 MED18 CG14802
FBtr0070310 CG14803 CG14803
FBtr0070311 Vps26 CG14804
FBtr0070312 CG14805 CG14805
FBtr0070313 Coa8 CG14806
FBtr0070314 mRpL16 CG3109
FBtr0070315 mip130 CG3480
FBtr0070316 Rbcn-3B CG17766
FBtr0070317 Ocrl CG3573
FBtr0070318 CG11596 CG11596
FBtr0070319 CG11596 CG11596
FBtr0070320 CG11596 CG11596
FBtr0070321 CG3587 CG3587
FBtr0070326 east CG4399
FBtr0070328 CG4194 CG4194
FBtr0070330 Rtca CG4061
FBtr0070331 CG4045 CG4045
FBtr0070334 CG4199 CG4199
FBtr0070335 CG4199 CG4199
FBtr0070336 CG4199 CG4199
FBtr0070337 CG4199 CG4199
FBtr0070338 CG14054 CG14054
FBtr0070339 CG4281 CG4281
FBtr0070340 Sik2 CG4290
FBtr0070341 moody CG4322
FBtr0070342 CG4325 CG4325
FBtr0070343 Actn CG4376
FBtr0070344 Actn CG4376
FBtr0070345 Actn CG4376
FBtr0070346 usp CG4380
FBtr0070347 PIG-K CG4406
FBtr0070349 CG3857 CG3857
FBtr0070350 eIF2Bepsilon CG3806
FBtr0070351 eIF2Bepsilon CG3806
FBtr0070352 Edem1 CG3810
FBtr0070353 Edem1 CG3810
FBtr0070354 Edem1 CG3810
FBtr0070355 CG32801 CG32801
FBtr0070356 Ldaf1 CG32803
FBtr0070362 trr CG3848
FBtr0070363 trr CG3848
FBtr0070364 CG14818 CG14818
FBtr0070365 CG14817 CG14817
FBtr0070366 Pgam5 CG14816
FBtr0070367 Pex5 CG14815
FBtr0070368 Pex5 CG14815
FBtr0070369 Gcna CG14814
FBtr0070370 Gcna CG14814
FBtr0070371 deltaCOP CG14813
FBtr0070372 Lamtor5 CG14812
FBtr0070374 CG14810 CG14810
FBtr0070375 CG4025 CG4025
FBtr0070376 Unc-76 CG3981
FBtr0070377 Unc-76 CG3981
FBtr0070378 csw CG3954
FBtr0070379 csw CG3954
FBtr0070380 csw CG3954
FBtr0070381 D2hgdh CG3835
FBtr0070382 D2hgdh CG3835
FBtr0070383 D2hgdh CG3835
FBtr0070384 Pgd CG3724
FBtr0070385 CG3630 CG3630
FBtr0070386 ND-B14.5A CG3621
FBtr0070387 Cyp4d2 CG3466
FBtr0070388 Cyp4ae1 CG10755
FBtr0070389 pn CG3461
FBtr0070390 CG17776 CG17776
FBtr0070392 CG3457 CG3457
FBtr0070393 Mct1 CG3456
FBtr0070396 fs(1)K10 CG3218
FBtr0070397 Or2a CG3206
FBtr0070398 CG3071 CG3071
FBtr0070399 CG2854 CG2854
FBtr0070401 Raf CG2845
FBtr0070402 CG2841 CG2841
FBtr0070403 CG2841 CG2841
FBtr0070404 CG2841 CG2841
FBtr0070405 mRpL14 CG14048
FBtr0070406 Ilp6 CG14049
FBtr0070407 CG14050 CG14050
FBtr0070408 CG2865 CG2865
FBtr0070411 CG2918 CG2918
FBtr0070412 CG2924 CG2924
FBtr0070414 temp CG3073
FBtr0070415 CG3078 CG3078
FBtr0070416 CG3091 CG3091
FBtr0070417 CG3191 CG3191
FBtr0070418 crn CG3193
FBtr0070419 kz CG3228
FBtr0070420 Vinc CG3299
FBtr0070421 SmydA-8 CG33548
FBtr0070422 SmydA-8 CG33548
FBtr0070423 FarO CG18031
FBtr0070424 CG14053 CG14053
FBtr0070425 Nmd3 CG3460
FBtr0070426 Cyp4d14 CG3540
FBtr0070427 Cyp4d1 CG3656
FBtr0070428 Cyp4d1 CG3656
FBtr0070429 wapl CG3707
FBtr0070430 wapl CG3707
FBtr0070431 bcn92 CG3717
FBtr0070432 ph-p CG18412
FBtr0070433 ph-d CG3895
FBtr0070434 CG16903 CG16903
FBtr0070435 z CG7803
FBtr0070436 Pdfr CG13758
FBtr0070437 AANATL7 CG13759
FBtr0070438 wds CG17437
FBtr0070439 egh CG9659
FBtr0070440 egh CG9659
FBtr0070441 Zw10 CG9900
FBtr0070442 Seipin CG9904
FBtr0070445 Tsp3A CG10742
FBtr0070446 eIF3g1 CG8636
FBtr0070447 Smyd3 CG13761
FBtr0070448 Klp3A CG8590
FBtr0070457 boi CG32796
FBtr0070458 boi CG32796
FBtr0070459 tko CG7925
FBtr0070460 gt CG7952
FBtr0070461 CG32797 CG32797
FBtr0070462 CG12496 CG12496
FBtr0070466 sgg CG2621
FBtr0070467 sgg CG2621
FBtr0070468 sgg CG2621
FBtr0070469 sgg CG2621
FBtr0070470 sgg CG2621
FBtr0070471 sgg CG2621
FBtr0070472 sgg CG2621
FBtr0070473 sgg CG2621
FBtr0070474 sgg CG2621
FBtr0070475 sgg CG2621
FBtr0070476 sgg CG2621
FBtr0070477 per CG2647
FBtr0070478 CG2662 CG2662
FBtr0070479 eIF2Bbeta CG2677
FBtr0070480 CG2681 CG2681
FBtr0070481 CG2694 CG2694
FBtr0070482 CG2694 CG2694
FBtr0070484 fs(1)Yb CG2706
FBtr0070485 fs(1)Ya CG2707
FBtr0070486 vilya CG2709
FBtr0070487 dwg CG2711
FBtr0070488 CG2712 CG2712
FBtr0070489 CG12498 CG12498
FBtr0070490 w CG2759
FBtr0070491 CG32795 CG32795
FBtr0070492 CG32795 CG32795
FBtr0070493 CG32795 CG32795
FBtr0070494 Syx4 CG2715
FBtr0070495 crm CG2714
FBtr0070496 crm CG2714
FBtr0070497 ttm50 CG2713
FBtr0070498 CG2701 CG2701
FBtr0070499 CG2685 CG2685
FBtr0070501 Ugalt CG2675
FBtr0070502 Spg7 CG2658
FBtr0070504 dyw CG2650
FBtr0070505 CG2652 CG2652
FBtr0070506 HLH3B CG2655
FBtr0070507 N CG3936
FBtr0070508 CG3939 CG3939
FBtr0070509 dnc CG32498
FBtr0070511 dnc CG32498
FBtr0070512 dnc CG32498
FBtr0070513 dnc CG32498
FBtr0070515 dnc CG32498
FBtr0070517 dnc CG32498
FBtr0070518 dnc CG32498
FBtr0070519 dnc CG32498
FBtr0070520 dnc CG32498
FBtr0070521 dnc CG32498
FBtr0070522 dnc CG32498
FBtr0070523 ng1 CG10781
FBtr0070525 Myc CG10798
FBtr0070526 CG10801 CG10801
FBtr0070527 CG12206 CG12206
FBtr0070528 CG12206 CG12206
FBtr0070529 CG12206 CG12206
FBtr0070530 CG16781 CG16781
FBtr0070531 CG16782 CG16782
FBtr0070532 CG14269 CG14269
FBtr0070533 tRNA:Gln-TTG-2-1 CR32493
FBtr0070534 CG12535 CG12535
FBtr0070536 CG10793 CG10793
FBtr0070537 Pig1 CG10790
FBtr0070538 ng4 CG10789
FBtr0070539 ng3 CG10788
FBtr0070540 ng2 CG14266
FBtr0070541 CG14265 CG14265
FBtr0070542 Fcp3C CG4015
FBtr0070543 CG18508 CG18508
FBtr0070546 CG3526 CG3526
FBtr0070550 CG32793 CG32793
FBtr0070551 CG3592 CG3592
FBtr0070552 CG3598 CG3598
FBtr0070553 CG14420 CG14420
FBtr0070554 CG14421 CG14421
FBtr0070555 CG14422 CG14422
FBtr0070556 CG14423 CG14423
FBtr0070557 CG17959 CG17959
FBtr0070558 CG3603 CG3603
FBtr0070559 kirre CG3653
FBtr0070560 kirre CG3653
FBtr0070561 CG4116 CG4116
FBtr0070562 rst CG4125
FBtr0070563 CG14424 CG14424
FBtr0070564 CG14419 CG14419
FBtr0070565 CG14418 CG14418
FBtr0070566 CG14417 CG14417
FBtr0070567 CG14416 CG14416
FBtr0070568 CG10802 CG10802
FBtr0070569 CG10803 CG10803
FBtr0070570 CG13021 CG13021
FBtr0070571 CG13021 CG13021
FBtr0070575 AstA-R1 CG2872
FBtr0070577 Ilp7 CG13317
FBtr0070578 Mnt CG13316
FBtr0070579 Mnt CG13316
FBtr0070582 Rala CG2849
FBtr0070583 Rala CG2849
FBtr0070584 Rala CG2849
FBtr0070586 CG2875 CG2875
FBtr0070587 CG2875 CG2875
FBtr0070588 DIP-alpha CG32791
FBtr0070589 Gas8 CG14271
FBtr0070590 CG14270 CG14270
FBtr0070591 CG10804 CG10804
FBtr0070592 CG10804 CG10804
FBtr0070596 Tlk CG34412
FBtr0070597 HIP-R CG2947
FBtr0070598 HIP-R CG2947
FBtr0070599 Crg-1 CG32788
FBtr0070600 HIP CG32789
FBtr0070603 tRNA:Gln-CTG-2-1 CR32785
FBtr0070604 tRNA:Pro-CGG-3-1 CR32784
FBtr0070605 CG2901 CG2901
FBtr0070606 ec CG2904
FBtr0070608 CG2930 CG2930
FBtr0070609 CG2930 CG2930
FBtr0070610 CG2930 CG2930
FBtr0070611 VhaAC39-1 CG2934
FBtr0070612 CG15239 CG15239
FBtr0070613 Glos CG2941
FBtr0070616 Vap33 CG5014
FBtr0070617 Vap33 CG5014
FBtr0070618 Vap33 CG5014
FBtr0070624 CG6414 CG6414
FBtr0070625 CG6428 CG6428
FBtr0070626 lva CG6450
FBtr0070627 CG2938 CG2938
FBtr0070634 lncRNA:roX1 CR32777
FBtr0070635 lncRNA:roX1 CR32777
FBtr0070638 brn CG4934
FBtr0070639 cib CG4944
FBtr0070640 cib CG4944
FBtr0070641 cib CG4944
FBtr0070642 dgt4 CG4865
FBtr0070643 tyf CG4857
FBtr0070644 GlcAT-I CG32775
FBtr0070645 CG15570 CG15570
FBtr0070646 CG12691 CG12691
FBtr0070647 CG15572 CG15572
FBtr0070648 NO66 CG2982
FBtr0070650 norpA CG3620
FBtr0070651 norpA CG3620
FBtr0070652 CG3626 CG3626
FBtr0070654 CG12693 CG12693
FBtr0070655 mRpL33 CG3712
FBtr0070656 mei-9 CG3697
FBtr0070657 CG15579 CG15579
FBtr0070658 CG12692 CG12692
FBtr0070659 CG15578 CG15578
FBtr0070660 CG15577 CG15577
FBtr0070661 CG15576 CG15576
FBtr0070663 Femcoat CG15573
FBtr0070664 CG15571 CG15571
FBtr0070665 Fas2 CG3665
FBtr0070666 Fas2 CG3665
FBtr0070667 Fas2 CG3665
FBtr0070668 Tip60 CG6121
FBtr0070669 Nsun2 CG6133
FBtr0070670 Xpac CG6358
FBtr0070671 Cmtr1 CG6379
FBtr0070672 bi CG3578
FBtr0070674 CG3556 CG3556
FBtr0070675 CHOp24 CG3564
FBtr0070676 CG3568 CG3568
FBtr0070677 CG15912 CG15912
FBtr0070678 CG3527 CG3527
FBtr0070679 CG3546 CG3546
FBtr0070680 peb CG12212
FBtr0070681 pon CG3346
FBtr0070682 mRpL30 CG7038
FBtr0070683 Cbp80 CG7035
FBtr0070684 Cbp80 CG7035
FBtr0070685 Pp2C1 CG2984
FBtr0070686 fzr CG3000
FBtr0070687 fzr CG3000
FBtr0070688 CG3009 CG3009
FBtr0070689 CG15473 CG15473
FBtr0070690 Torsin CG3024
FBtr0070691 HLH4C CG3052
FBtr0070692 CG3062 CG3062
FBtr0070693 CG3081 CG3081
FBtr0070696 Alms1b CG12184
FBtr0070697 CG12684 CG12684
FBtr0070698 CG11444 CG11444
FBtr0070699 CG11436 CG11436
FBtr0070701 Usf CG17592
FBtr0070702 rb CG11427
FBtr0070704 ctp CG6998
FBtr0070706 ctp CG6998
FBtr0070707 ctp CG6998
FBtr0070708 Pdha CG7010
FBtr0070709 Pdha CG7010
FBtr0070710 Pdha CG7010
FBtr0070711 Pdha CG7010
FBtr0070712 CG7024 CG7024
FBtr0070713 Proc-R CG6986
FBtr0070714 Proc-R CG6986
FBtr0070715 CG6978 CG6978
FBtr0070716 CG12682 CG12682
FBtr0070717 boil CG12681
FBtr0070721 CG6927 CG6927
FBtr0070723 CG6903 CG6903
FBtr0070724 Ptp4E CG6899
FBtr0070725 Ptp4E CG6899
FBtr0070731 CG2861 CG2861
FBtr0070734 CG2871 CG2871
FBtr0070735 Klf15 CG2932
FBtr0070736 CG15472 CG15472
FBtr0070738 ovo CG6824
FBtr0070739 ovo CG6824
FBtr0070740 ovo CG6824
FBtr0070741 Rpn13R CG6789
FBtr0070742 CG15465 CG15465
FBtr0070748 snf CG4528
FBtr0070749 dhd CG4193
FBtr0070750 CG4198 CG4198
FBtr0070751 Sas10 CG4202
FBtr0070752 Rnp4F CG3312
FBtr0070753 Rnp4F CG3312
FBtr0070755 TrxT CG3315
FBtr0070756 Cdk7 CG3319
FBtr0070757 CG17764 CG17764
FBtr0070758 CG3323 CG3323
FBtr0070759 CG5062 CG5062
FBtr0070762 Mcm3 CG4206
FBtr0070763 XRCC1 CG4208
FBtr0070764 CanB CG4209
FBtr0070772 Usp16-45 CG4165
FBtr0070773 Usp16-45 CG4165
FBtr0070775 Usp16-45 CG4165
FBtr0070776 CG16756 CG16756
FBtr0070777 CG15784 CG15784
FBtr0070778 SPR CG16752
FBtr0070779 CG4151 CG4151
FBtr0070780 CG12730 CG12730
FBtr0070781 Vsx1 CG4136
FBtr0070782 Pop1 CG32763
FBtr0070783 Mlc-c CG3201
FBtr0070784 RhoGAP5A CG3208
FBtr0070785 RhoGAP5A CG3208
FBtr0070791 CG32762 CG32762
FBtr0070794 spoon CG3249
FBtr0070795 spoon CG3249
FBtr0070797 NAAT1 CG3252
FBtr0070798 CG3309 CG3309
FBtr0070799 CG4119 CG4119
FBtr0070800 RpL35 CG4111
FBtr0070801 RpL35 CG4111
FBtr0070802 Gr5a CG15779
FBtr0070804 cv CG12410
FBtr0070806 CG15773 CG15773
FBtr0070807 Rtel1 CG4078
FBtr0070808 CG15772 CG15772
FBtr0070809 CG15771 CG15771
FBtr0070813 CG15767 CG15767
FBtr0070814 CG12239 CG12239
FBtr0070815 Cpr5C CG4052
FBtr0070816 Prosbeta2R1 CG18341
FBtr0070817 CG15765 CG15765
FBtr0070818 tRNA:Glu-CTC-6-1Psi CR32761
FBtr0070819 CG12729 CG12729
FBtr0070820 CG15764 CG15764
FBtr0070821 CG16721 CG16721
FBtr0070822 Act5C CG4027
FBtr0070823 Act5C CG4027
FBtr0070824 CG4020 CG4020
FBtr0070825 CG12236 CG12236
FBtr0070826 CG12236 CG12236
FBtr0070827 Shmt CG3011
FBtr0070828 Usp30 CG3016
FBtr0070829 mof CG3025
FBtr0070830 GAA1 CG3033
FBtr0070832 AgmNAT CG15766
FBtr0070833 CG3108 CG3108
FBtr0070836 CG3097 CG3097
FBtr0070837 MAPk-Ak2 CG3086
FBtr0070839 MAPk-Ak2 CG3086
FBtr0070840 lin-52 CG15929
FBtr0070841 IntS6 CG3125
FBtr0070842 IntS6 CG3125
FBtr0070843 Snx27 CG32758
FBtr0070844 CG33080 CG33080
FBtr0070845 CG33080 CG33080
FBtr0070846 CG3149 CG3149
FBtr0070847 PGAP1 CG3160
FBtr0070848 Tre1 CG3171
FBtr0070849 Rab18 CG3129
FBtr0070850 Sirt4 CG3187
FBtr0070851 Sirt4 CG3187
FBtr0070852 Sirt4 CG3187
FBtr0070858 CG3726 CG3726
FBtr0070859 CG12728 CG12728
FBtr0070860 CG32756 CG32756
FBtr0070861 CG6041 CG6041
FBtr0070862 CG32755 CG32755
FBtr0070863 CG6048 CG6048
FBtr0070864 CG6067 CG6067
FBtr0070865 Grip CG14447
FBtr0070866 CG5966 CG5966
FBtr0070867 MCTS1 CG5941
FBtr0070871 CG5928 CG5928
FBtr0070872 Nep1 CG5905
FBtr0070873 Nep1 CG5905
FBtr0070874 Efr CG3774
FBtr0070875 Efr CG3774
FBtr0070877 sqh CG3595
FBtr0070878 Btnd CG3599
FBtr0070879 vanin-like CG32754
FBtr0070880 CG32751 CG32751
FBtr0070881 CG32750 CG32750
FBtr0070884 Mipp2 CG4317
FBtr0070886 CG4660 CG4660
FBtr0070887 CG4666 CG4666
FBtr0070888 Tsp5D CG4690
FBtr0070889 rux CG4336
FBtr0070890 mab-21 CG4746
FBtr0070891 CG4766 CG4766
FBtr0070892 fs(1)M3 CG4790
FBtr0070893 CG14445 CG14445
FBtr0070894 Spx CG3780
FBtr0070895 CG3781 CG3781
FBtr0070896 Spt6 CG12225
FBtr0070897 wuho CG15897
FBtr0070898 mldr CG15896
FBtr0070899 CG3815 CG3815
FBtr0070900 CG3823 CG3823
FBtr0070901 CG15894 CG15894
FBtr0070903 CG3842 CG3842
FBtr0070904 CG3842 CG3842
FBtr0070905 CG3847 CG3847
FBtr0070906 kdn CG3861
FBtr0070907 kdn CG3861
FBtr0070909 Marf CG3869
FBtr0070910 Marf CG3869
FBtr0070911 tRNA:Phe-GAA-1-1 CR32748
FBtr0070912 CG3918 CG3918
FBtr0070913 Agxt CG3926
FBtr0070914 dx CG3929
FBtr0070915 RpL7A CG3314
FBtr0070916 RpL7A CG3314
FBtr0070918 CG3342 CG3342
FBtr0070921 PpV CG12217
FBtr0070922 swa CG3429
FBtr0070924 ND-B16.6 CG3446
FBtr0070925 CG12219 CG12219
FBtr0070926 CG15892 CG15892
FBtr0070930 Top3beta CG3458
FBtr0070933 Ubi-p5E CG32744
FBtr0070937 schlank CG3576
FBtr0070938 schlank CG3576
FBtr0070943 CG17717 CG17717
FBtr0070944 CG17717 CG17717
FBtr0070945 Pat1 CG10695
FBtr0070946 APC7 CG14444
FBtr0070947 APC7 CG14444
FBtr0070948 pigs CG3973
FBtr0070950 Cdc7 CG32742
FBtr0070951 Ctr1A CG3977
FBtr0070952 Mcm6 CG4039
FBtr0070953 Fum1 CG4094
FBtr0070954 Fum1 CG4094
FBtr0070955 Fum2 CG4095
FBtr0070956 Pink1 CG4523
FBtr0070957 Pink1 CG4523
FBtr0070959 CG14441 CG14441
FBtr0070960 CG14439 CG14439
FBtr0070961 sov CG14438
FBtr0070962 sov CG14438
FBtr0070963 Coq7 CG14437
FBtr0070964 pod1 CG4532
FBtr0070965 pod1 CG4532
FBtr0070966 pod1 CG4532
FBtr0070967 pod1 CG4532
FBtr0070968 pod1 CG4532
FBtr0070969 iav CG4536
FBtr0070970 xit CG4542
FBtr0070972 nonC CG32743
FBtr0070973 mAChR-C CG12796
FBtr0070974 Nf-YC CG3075
FBtr0070978 shf CG3135
FBtr0070979 tRNA:Phe-GAA-1-2 CR32740
FBtr0070980 RpL17 CG3203
FBtr0070981 RpL17 CG3203
FBtr0070982 RpL17 CG3203
FBtr0070983 RpL17 CG3203
FBtr0070984 CG3168 CG3168
FBtr0070985 CG3168 CG3168
FBtr0070986 CG3168 CG3168
FBtr0070987 CG14440 CG14440
FBtr0070988 CG14442 CG14442
FBtr0070989 CG3184 CG3184
FBtr0070990 ND-ASHI CG3192
FBtr0070991 CG3198 CG3198
FBtr0070992 CG3224 CG3224
FBtr0070993 CG3226 CG3226
FBtr0070994 CG4557 CG4557
FBtr0070995 CG4558 CG4558
FBtr0071003 CG4586 CG4586
FBtr0071004 bou CG14430
FBtr0071005 Inx2 CG4590
FBtr0071006 Inx2 CG4590
FBtr0071007 CG32736 CG32736
FBtr0071008 CG32736 CG32736
FBtr0071009 CG4593 CG4593
FBtr0071010 CG14427 CG14427
FBtr0071013 CG4607 CG4607
FBtr0071014 CG4607 CG4607
FBtr0071015 CG8300 CG8300
FBtr0071016 lncRNA:CR32730 CR32730
FBtr0071017 fz4 CG4626
FBtr0071018 fz4 CG4626
FBtr0071019 CG4617 CG4617
FBtr0071020 CG4615 CG4615
FBtr0071032 CG3032 CG3032
FBtr0071033 cm CG3035
FBtr0071035 Inx7 CG2977
FBtr0071036 ogre CG3039
FBtr0071037 ogre CG3039
FBtr0071038 CG3040 CG3040
FBtr0071039 Setd3 CG32732
FBtr0071040 CG14434 CG14434
FBtr0071041 Cht11 CG3044
FBtr0071042 CG14435 CG14435
FBtr0071046 CG1958 CG1958
FBtr0071047 CG2059 CG2059
FBtr0071048 brk CG9653
FBtr0071049 Dok CG2079
FBtr0071051 Acsf3 CG18155
FBtr0071052 CBP CG1435
FBtr0071053 CBP CG1435
FBtr0071054 CG1999 CG1999
FBtr0071055 CheA7a CG15033
FBtr0071056 CG32727 CG32727
FBtr0071057 rumpel CG9657
FBtr0071058 CG11368 CG11368
FBtr0071059 CG32726 CG32726
FBtr0071060 CG15036 CG15036
FBtr0071063 CG15035 CG15035
FBtr0071064 CG15034 CG15034
FBtr0071065 Atg5 CG1643
